product_id,design,shelf_life_class,assignment_basis
102,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
102,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
104,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
104,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
108,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
108,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
109,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
109,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
11,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
11,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
116,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
116,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
117,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
117,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
118,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
118,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
119,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
119,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
12,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
12,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
122,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
122,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
123,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
123,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
127,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
127,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
129,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
129,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
132,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
132,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
133,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
133,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
134,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
134,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
135,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
135,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
136,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
136,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
138,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
138,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
140,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
140,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
145,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
145,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
146,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
146,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
166,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
166,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
176,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
176,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
18,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
18,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
19,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
19,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
190,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
190,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
193,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
193,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
2,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
2,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
207,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
207,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
21,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
21,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
212,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
212,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
213,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
213,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
214,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
214,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
215,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
215,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
216,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
216,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
217,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
217,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
219,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
219,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
220,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
220,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
222,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
222,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
223,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
223,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
224,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
224,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
240,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
240,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
241,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
241,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
250,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
250,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
253,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
253,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
257,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
257,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
259,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
259,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
26,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
26,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
267,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
267,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
280,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
280,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
290,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
290,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
291,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
291,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
292,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
292,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
295,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
295,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
296,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
296,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
300,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
300,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
310,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
310,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
316,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
316,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
317,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
317,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
320,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
320,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
321,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
321,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
335,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
335,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
345,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
345,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
351,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
351,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
363,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
363,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
37,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
37,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
370,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
370,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
381,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
381,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
386,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
386,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
387,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
387,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
396,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
396,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
4,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
4,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
403,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
403,balanced_heterogeneous,medium_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
404,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
404,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
41,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
41,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
411,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
411,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
416,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
416,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
422,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
422,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
425,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
425,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
426,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
426,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
429,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
429,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
441,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
441,balanced_heterogeneous,short_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
452,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
452,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
467,homogeneous_medium,medium_shelf_life,All products assigned the same neutral class.
467,balanced_heterogeneous,long_shelf_life,"Reproducible hash-balanced experimental assignment, not factual classification."
