"file_path","source_table","script_that_generated_it","question_answered","current_title","axes","units","legend","sample_split","sample_size_shown","whether_values_match_source_table","whether_duplicated","whether_visually_readable","whether_needed_in_report","whether_needed_in_presentation","recommendation"
"archive/diagnostic_figures/discount_response/action_ranking_comparison.png","archived source table","archived generation script","Diagnostic or supporting question.","action ranking comparison","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/demand_by_markdown_bin.png","archived source table","archived generation script","Diagnostic or supporting question.","demand by markdown bin","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/implied_demand_uplift_by_markdown.png","archived source table","archived generation script","Diagnostic or supporting question.","implied demand uplift by markdown","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/markdown_distribution_support.png","archived source table","archived generation script","Diagnostic or supporting question.","markdown distribution support","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/model_implied_markdown_response_curves.png","archived source table","archived generation script","Diagnostic or supporting question.","model implied markdown response curves","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/model_performance_by_target.png","archived source table","archived generation script","Diagnostic or supporting question.","model performance by target","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/response_difference_by_promotion_status.png","archived source table","archived generation script","Diagnostic or supporting question.","response difference by promotion status","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/response_difference_by_stockout_risk_group.png","archived source table","archived generation script","Diagnostic or supporting question.","response difference by stockout risk group","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/discount_response/robustness_comparison.png","archived source table","archived generation script","Diagnostic or supporting question.","robustness comparison","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/action_distribution.png","archived source table","archived generation script","Diagnostic or supporting question.","action distribution","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/dqn_paired_gain_vs_baseline.png","archived source table","archived generation script","Diagnostic or supporting question.","dqn paired gain vs baseline","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/dqn_seed_stability.png","archived source table","archived generation script","Diagnostic or supporting question.","dqn seed stability","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/dqn_validation_profit_by_timestep.png","archived source table","archived generation script","Diagnostic or supporting question.","dqn validation profit by timestep","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/dqn_vs_ppo_vs_planning.png","archived source table","archived generation script","Diagnostic or supporting question.","dqn vs ppo vs planning","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/profit_waste_comparison.png","archived source table","archived generation script","Diagnostic or supporting question.","profit waste comparison","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_action_distribution_by_seed.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn action distribution by seed","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_paired_gain_by_selected_seed.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn paired gain by selected seed","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_pooled_confidence_interval.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn pooled confidence interval","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_profit_waste_comparison.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn profit waste comparison","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_seed_stability.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn seed stability","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_validation_profit_by_timestep_all_seeds.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn validation profit by timestep all seeds","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
"archive/diagnostic_figures/dqn_final_candidate/standard_dqn_vs_planning_baseline.png","archived source table","archived generation script","Diagnostic or supporting question.","standard dqn vs planning baseline","Visible in PNG; not machine-audited","normalized profit, rates, or action shares depending on figure","Visible in PNG where needed","held-out test or validation as indicated by source table","60 for held-out final figures; see source table","PASS for retained main figures; archived diagnostic figures not revalidated","NO for retained main figures","PASS for retained main figures","NO","NO","ARCHIVE"
